Model name,VendorName,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP
32/60,adviser,125,256,6000,256,16,128,198,199
470v/7,amdahl,29,8000,32000,32,8,32,269,253
470v/7a,amdahl,29,8000,32000,32,8,32,220,253
470v/7b,amdahl,29,8000,32000,32,8,32,172,253
470v/7c,amdahl,29,8000,16000,32,8,16,132,132
470v/b,amdahl,26,8000,32000,64,8,32,318,290
580-5840,amdahl,23,16000,32000,64,16,32,367,381
580-5850,amdahl,23,16000,32000,64,16,32,489,381
580-5860,amdahl,23,16000,64000,64,16,32,636,749
580-5880,amdahl,23,32000,64000,128,32,64,1144,1238
dn320,apollo,400,1000,3000,0,1,2,38,23
dn420,apollo,400,512,3500,4,1,6,40,24
Jul-65,basf,60,2000,8000,65,1,8,92,70
Jul-68,basf,50,4000,16000,65,1,8,138,117
5000,bti,350,64,64,0,1,4,10,15
8000,bti,200,512,16000,0,4,32,35,64
b1955,burroughs,167,524,2000,8,4,15,19,23
b2900,burroughs,143,512,5000,0,7,32,28,29
b2925,burroughs,143,1000,2000,0,5,16,31,22
b4955,burroughs,110,5000,5000,142,8,64,120,124
b5900,burroughs,143,1500,6300,0,5,32,30,35
b5920,burroughs,143,3100,6200,0,5,20,33,39
b6900,burroughs,143,2300,6200,0,6,64,61,40
b6925,burroughs,110,3100,6200,0,6,64,76,45
68/10-80,c.r.d,320,128,6000,0,1,12,23,28
universe:2203t,c.r.d,320,512,2000,4,1,3,69,21
universe:68,c.r.d,320,256,6000,0,1,6,33,28
universe:68/05,c.r.d,320,256,3000,4,1,3,27,22
universe:68/137,c.r.d,320,512,5000,4,1,5,77,28
universe:68/37,c.r.d,320,256,5000,4,1,6,27,27
cyber:170/750,cdc,25,1310,2620,131,12,24,274,102
cyber:170/760,cdc,25,1310,2620,131,12,24,368,102
cyber:170/815,cdc,50,2620,10480,30,12,24,32,74
cyber:170/825,cdc,50,2620,10480,30,12,24,63,74
cyber:170/835,cdc,56,5240,20970,30,12,24,106,138
cyber:170/845,cdc,64,5240,20970,30,12,24,208,136
omega:480-i,cdc,50,500,2000,8,1,4,20,23
omega:480-ii,cdc,50,1000,4000,8,1,5,29,29
omega:480-iii,cdc,50,2000,8000,8,1,5,71,44
1636-1,cambex,50,1000,4000,8,3,5,26,30
1636-10,cambex,50,1000,8000,8,3,5,36,41
1641-1,cambex,50,2000,16000,8,3,5,40,74
1641-11,cambex,50,2000,16000,8,3,6,52,74
1651-1,cambex,50,2000,16000,8,3,6,60,74
decsys:10:1091,dec,133,1000,12000,9,3,12,72,54
decsys:20:2060,dec,133,1000,8000,9,3,12,72,41
microvax-1,dec,810,512,512,8,1,1,18,18
vax:11/730,dec,810,1000,5000,0,1,1,20,28
vax:11/750,dec,320,512,8000,4,1,5,40,36
vax:11/780,dec,200,512,8000,8,1,8,62,38
eclipse:c/350,dg,700,384,8000,0,1,1,24,34
eclipse:m/600,dg,700,256,2000,0,1,1,24,19
eclipse:mv/10000,dg,140,1000,16000,16,1,3,138,72
eclipse:mv/4000,dg,200,1000,8000,0,1,2,36,36
eclipse:mv/6000,dg,110,1000,4000,16,1,2,26,30
eclipse:mv/8000,dg,110,1000,12000,16,1,2,60,56
eclipse:mv/8000-ii,dg,220,1000,8000,16,1,2,71,42
f4000/100,formation,800,256,8000,0,1,4,12,34
f4000/200,formation,800,256,8000,0,1,4,14,34
f4000/200ap,formation,800,256,8000,0,1,4,20,34
f4000/300,formation,800,256,8000,0,1,4,16,34
f4000/300ap,formation,800,256,8000,0,1,4,22,34
2000/260,four-phase,125,512,1000,0,8,20,36,19
concept:32/8705,gould,75,2000,8000,64,1,38,144,75
concept:32/8750,gould,75,2000,16000,64,1,38,144,113
concept:32/8780,gould,75,2000,16000,128,1,38,259,157
3000/30,hp,90,256,1000,0,3,10,17,18
3000/40,hp,105,256,2000,0,3,10,26,20
3000/44,hp,105,1000,4000,0,3,24,32,28
3000/48,hp,105,2000,4000,8,3,19,32,33
3000/64,hp,75,2000,8000,8,3,24,62,47
3000/88,hp,75,3000,8000,8,3,48,64,54
3000/iii,hp,175,256,2000,0,3,24,22,20
100,harris,300,768,3000,0,6,24,36,23
300,harris,300,768,3000,6,6,24,44,25
500,harris,300,768,12000,6,6,24,50,52
600,harris,300,768,4500,0,1,24,45,27
700,harris,300,384,12000,6,1,24,53,50
80,harris,300,192,768,6,6,24,36,18
800,harris,180,768,12000,6,1,31,84,53
dps:6/35,honeywell,330,1000,3000,0,2,4,16,23
dps:6/92,honeywell,300,1000,4000,8,3,64,38,30
dps:6/96,honeywell,300,1000,16000,8,2,112,38,73
dps:7/35,honeywell,330,1000,2000,0,1,2,16,20
dps:7/45,honeywell,330,1000,4000,0,3,6,22,25
dps:7/55,honeywell,140,2000,4000,0,3,6,29,28
dps:7/65,honeywell,140,2000,4000,0,4,8,40,29
dps:8/44,honeywell,140,2000,4000,8,1,20,35,32
dps:8/49,honeywell,140,2000,32000,32,1,20,134,175
dps:8/50,honeywell,140,2000,8000,32,1,54,66,57
dps:8/52,honeywell,140,2000,32000,32,1,54,141,181
dps:8/62,honeywell,140,2000,32000,32,1,54,189,181
dps:8/20,honeywell,140,2000,4000,8,1,20,22,32
3033:s,ibm,57,4000,16000,1,6,12,132,82
3033:u,ibm,57,4000,24000,64,12,16,237,171
3081,ibm,26,16000,32000,64,16,24,465,361
3081:d,ibm,26,16000,32000,64,8,24,465,350
3083:b,ibm,26,8000,32000,0,8,24,277,220
3083:e,ibm,26,8000,16000,0,8,16,185,113
370/125-2,ibm,480,96,512,0,1,1,6,15
370/148,ibm,203,1000,2000,0,1,5,24,21
370/158-3,ibm,115,512,6000,16,1,6,45,35
38/3,ibm,1100,512,1500,0,1,1,7,18
38/4,ibm,1100,768,2000,0,1,1,13,20
38/5,ibm,600,768,2000,0,1,1,16,20
38/7,ibm,400,2000,4000,0,1,1,32,28
38/8,ibm,400,4000,8000,0,1,1,32,45
4321,ibm,900,1000,1000,0,1,2,11,18
4331-1,ibm,900,512,1000,0,1,2,11,17
4331-11,ibm,900,1000,4000,4,1,2,18,26
4331-2,ibm,900,1000,4000,8,1,2,22,28
4341,ibm,900,2000,4000,0,3,6,37,28
4341-1,ibm,225,2000,4000,8,3,6,40,31
4341-10,ibm,225,2000,4000,8,3,6,34,31
4341-11,ibm,180,2000,8000,8,1,6,50,42
4341-12,ibm,185,2000,16000,16,1,6,76,76
4341-2,ibm,180,2000,16000,16,1,6,66,76
4341-9,ibm,225,1000,4000,2,3,6,24,26
4361-4,ibm,25,2000,12000,8,1,4,49,59
4361-5,ibm,25,2000,12000,16,3,5,66,65
4381-1,ibm,17,4000,16000,8,6,12,100,101
4381-2,ibm,17,4000,16000,32,6,12,133,116
8130-a,ibm,1500,768,1000,0,0,0,12,18
8130-b,ibm,1500,768,2000,0,0,0,18,20
8140,ibm,800,768,2000,0,0,0,20,20
4436,ipl,50,2000,4000,0,3,6,27,30
4443,ipl,50,2000,8000,8,3,6,45,44
4445,ipl,50,2000,8000,8,1,6,56,44
4446,ipl,50,2000,16000,24,1,6,70,82
4460,ipl,50,2000,16000,24,1,6,80,82
4480,ipl,50,8000,16000,48,1,10,136,128
m80/30,magnuson,100,1000,8000,0,2,6,16,37
m80/31,magnuson,100,1000,8000,24,2,6,26,46
m80/32,magnuson,100,1000,8000,24,3,6,32,46
m80/42,magnuson,50,2000,16000,12,3,16,45,80
m80/43,magnuson,50,2000,16000,24,6,16,54,88
m80/44,magnuson,50,2000,16000,24,6,16,65,88
seq.ms/3200,microdata,150,512,4000,0,8,128,30,33
as/3000,nas,115,2000,8000,16,1,3,50,46
as/3000-n,nas,115,2000,4000,2,1,5,40,29
as/5000,nas,92,2000,8000,32,1,6,62,53
as/5000-e,nas,92,2000,8000,32,1,6,60,53
as/5000-n,nas,92,2000,8000,4,1,6,50,41
as/6130,nas,75,4000,16000,16,1,6,66,86
as/6150,nas,60,4000,16000,32,1,6,86,95
as/6620,nas,60,2000,16000,64,5,8,74,107
as/6630,nas,60,4000,16000,64,5,8,93,117
as/6650,nas,50,4000,16000,64,5,10,111,119
as/7000,nas,72,4000,16000,64,8,16,143,120
as/7000-n,nas,72,2000,8000,16,6,8,105,48
as/8040,nas,40,8000,16000,32,8,16,214,126
as/8050,nas,40,8000,32000,64,8,24,277,266
as/8060,nas,35,8000,32000,64,8,24,370,270
as/9000-dpc,nas,38,16000,32000,128,16,32,510,426
as/9000-n,nas,48,4000,24000,32,8,24,214,151
as/9040,nas,38,8000,32000,64,8,24,326,267
as/9060,nas,30,16000,32000,256,16,24,510,603
v8535:ii,ncr,112,1000,1000,0,1,4,8,19
v8545:ii,ncr,84,1000,2000,0,1,6,12,21
v8555:ii,ncr,56,1000,4000,0,1,6,17,26
v8565:ii,ncr,56,2000,6000,0,1,8,21,35
v8565:ii-e,ncr,56,2000,8000,0,1,8,24,41
v8575:ii,ncr,56,4000,8000,0,1,8,34,47
v8585:ii,ncr,56,4000,12000,0,1,8,42,62
v8595:ii,ncr,56,4000,16000,0,1,8,46,78
v8635,ncr,38,4000,8000,32,16,32,51,80
v8650,ncr,38,4000,8000,32,16,32,116,80
v8655,ncr,38,8000,16000,64,4,8,100,142
v8665,ncr,38,8000,24000,160,4,8,140,281
v8670,ncr,38,4000,16000,128,16,32,212,190
8890/30,nixdorf,200,1000,2000,0,1,2,25,21
8890/50,nixdorf,200,1000,4000,0,1,4,30,25
8890/70,nixdorf,200,2000,8000,64,1,5,41,67
3205,perkin-elmer,250,512,4000,0,1,7,25,24
3210,perkin-elmer,250,512,4000,0,4,7,50,24
3230,perkin-elmer,250,1000,16000,1,1,8,50,64
50-2250,prime,160,512,4000,2,1,5,30,25
50-250-ii,prime,160,512,2000,2,3,8,32,20
50-550-ii,prime,160,1000,4000,8,1,14,38,29
50-750-ii,prime,160,1000,8000,16,1,14,60,43
50-850-ii,prime,160,2000,8000,32,1,13,109,53
7.521,siemens,240,512,1000,8,1,3,6,19
7.531,siemens,240,512,2000,8,1,5,11,22
7.536,siemens,105,2000,4000,8,3,8,22,31
7.541,siemens,105,2000,6000,16,6,16,33,41
7.551,siemens,105,2000,8000,16,4,14,58,47
7.561,siemens,52,4000,16000,32,4,12,130,99
7.865-2,siemens,70,4000,12000,8,6,8,75,67
7.870-2,siemens,59,4000,12000,32,6,12,113,81
7.872-2,siemens,59,8000,16000,64,12,24,188,149
7.875-2,siemens,26,8000,24000,32,8,16,173,183
7.880-2,siemens,26,8000,32000,64,12,16,248,275
7.881-2,siemens,26,8000,32000,128,24,32,405,382
1100/61-h1,sperry,116,2000,8000,32,5,28,70,56
1100/81,sperry,50,2000,32000,24,6,26,114,182
1100/82,sperry,50,2000,32000,48,26,52,208,227
1100/83,sperry,50,2000,32000,112,52,104,307,341
1100/84,sperry,50,4000,32000,112,52,104,397,360
1100/93,sperry,30,8000,64000,96,12,176,915,919
1100/94,sperry,30,8000,64000,128,12,176,1150,978
80/3,sperry,180,262,4000,0,1,3,12,24
80/4,sperry,180,512,4000,0,1,3,14,24
80/5,sperry,180,262,4000,0,1,3,18,24
80/6,sperry,180,512,4000,0,1,3,21,24
80/8,sperry,124,1000,8000,0,1,8,42,37
90/80-model-3,sperry,98,1000,8000,32,2,8,46,50
32,sratus,125,2000,8000,0,2,14,52,41
vs-100,wang,480,512,8000,32,0,0,67,47
vs-90,wang,480,1000,4000,0,0,0,45,25
